objid,ra,raerr,dec,decerr,type,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,z,zerr,zConf,SpecClass,objTypename,run,rerun,camcol,field,obj,mjd,plate,fiberID,sn_0,sn_1,sn_2,velDisp,velDispErr,petroRad_r,ew
587728906099687546,117.40321492,0.0597210427936627,33.62121861,0.0552250280458997,3,19.4631080627441,0.0304732192307711,19.0234680175781,0.0146277565509081,18.6435375213623,0.0190054457634687,18.962230682373,0.0225375052541494,18.4685230255127,0.0394654050469399,0.28670808672905,0.21095709502697,0.153003677725792,0.116018056869507,0.0822582468390465,0.273335993289948,0.000711588014382869,0.998718976974487,2,QSO,2131,40,4,77,122,52577,756,188,9.87069988250732,11.3043003082275,9.31140995025635,-9999,-9999,1.900106549263,339.201995849609
587725550133444775,156.56337491,0.0346941144776223,63.55236299,0.0345253441791979,6,21.011510848999,0.0975905060768127,20.8434543609619,0.0442732609808445,20.1177177429199,0.0324127301573753,21.6155624389648,0.162595823407173,20.4002265930176,0.175227746367455,0.0437380596995354,0.0321820490062237,0.0233411062508821,0.0176988542079926,0.0125487083569169,0.333772003650665,0.000821870984509587,0.82820999622345,2,SERENDIPITY_DISTANT,1350,40,1,288,167,52375,772,409,1.73309004306793,1.77495002746582,1.30499994754791,-9999,-9999,1.63082301616669,933.297302246094
588009371762098262,170.58222403,0.0477719387211599,61.91262936,0.0376363493043314,6,20.8148155212402,0.0760108605027199,20.5428829193115,0.0258961096405983,20.0175933837891,0.0260633360594511,20.3054752349854,0.0496007911860943,21.1752185821533,0.379551202058792,0.0410082824528217,0.0301735047250986,0.0218843426555395,0.0165942348539829,0.011765519157052,0.204549998044968,0.000743312004487962,0.997120976448059,2,SERENDIPITY_DISTANT,1896,41,4,123,86,52295,775,519,2.39093995094299,2.0278799533844,1.19614994525909,-9999,-9999,1.72893214225769,960.684875488281
588011122502336742,181.77214201,0.0414406468319624,61.586621,0.0477073789165954,6,21.07688331604,0.0928602516651154,20.7818012237549,0.0413488186895847,20.1370811462402,0.0302893500775099,20.8785972595215,0.084278367459774,20.3554039001465,0.188624814152718,0.0905847772955894,0.0666514188051224,0.0483411699533463,0.0366556458175182,0.0259893089532852,0.262024998664856,9.36709984671324E-05,0.893391013145447,2,SERENDIPITY_DISTANT,2304,41,1,187,230,52337,778,51,1.67732000350952,1.95708000659943,1.61930000782013,-9999,-9999,2.02956438064575,760.236999511719
588009370154696895,186.47944585,0.0479850715087459,61.33198007,0.0295909455651133,6,20.8810272216797,0.071900263428688,20.5637092590332,0.0301498509943485,20.1428298950195,0.0312102101743221,20.3502464294434,0.0490935072302818,19.9617214202881,0.127570196986198,0.0877113044261932,0.0645371451973915,0.0468077175319195,0.0354928746819496,0.0251648910343647,0.296512991189957,0.000112551002530381,0.905710995197296,2,SERENDIPITY_DISTANT,1896,41,1,172,191,52370,780,122,3.00469994544983,3.81572008132935,3.05050992965698,-9999,-9999,1.7170330286026,181.621963500977
588011124117078183,201.89355393,0.0409842373866916,61.85082645,0.0423704806399235,6,21.1945056915283,0.108771249651909,20.8249855041504,0.0372124016284943,20.2301788330078,0.0269092284142971,21.0550956726074,0.0752998143434525,20.4494361877441,0.236982598900795,0.0776067301630974,0.0571022965013981,0.041415348649025,0.0314040035009384,0.0222658310085535,0.316605985164642,5.3632800700143E-05,0.634907007217407,2,SERENDIPITY_DISTANT,2304,41,4,250,167,52327,784,634,1.75258004665375,1.59561002254486,0.759459972381592,-9999,-9999,1.49498295783997,92.4407043457031
587728917372993708,210.88584955,0.0315268588258253,61.35406749,0.0478139614762042,6,21.3706378936768,0.103864416480064,21.3016719818115,0.0481601171195507,20.3063526153564,0.0325105376541615,21.807933807373,0.165484935045242,20.9219207763672,0.258091241121292,0.0758843496441841,0.0558349825441837,0.0404961854219437,0.0307070314884186,0.0217716675251722,0.281634002923965,0.000115210998046678,0.665391027927399,2,SERENDIPITY_DISTANT,2134,40,1,62,172,52320,787,566,1.06051003932953,0.880451023578644,0.722703993320465,-9999,-9999,1.57660150527954,1484.94140625
588011218602623163,221.94916495,0.0486110799637864,57.08339782,0.048913491207531,6,20.9027004241943,0.0897450521588326,20.5137958526611,0.0280751883983612,20.0937557220459,0.0264750048518181,20.7128467559814,0.0551318824291229,20.2130222320557,0.154935613274574,0.0810316130518913,0.0596222877502441,0.0432430580258369,0.0327899008989334,0.0232484489679337,0.285412013530731,0.000747326004784554,0.961880028247833,2,SERENDIPITY_DISTANT,2326,41,4,193,187,52435,791,497,2.44004988670349,2.45969009399414,1.70378005504608,-9999,-9999,1.77864575386047,676.207885742188
588011103712706632,226.61661651,0.0532786250412866,56.45074128,0.0549208523841132,6,20.4862174987793,0.0771216154098511,20.0385246276855,0.034982331097126,19.5691986083984,0.0246973372995853,19.8738842010498,0.0380313843488693,19.2536277770996,0.0692337155342102,0.0779170170426369,0.0573306009173393,0.0415809340775013,0.0315295606851578,0.0223548524081707,0.278567999601364,0.000684382976032794,0.996766984462738,2,SERENDIPITY_DISTANT,2299,41,6,200,72,52353,792,602,4.42347002029419,5.5394401550293,4.24290990829468,-9999,-9999,1.90001702308655,341.907928466797
588011219677544642,226.99185114,0.0490565113380878,56.23417669,0.0474049588474158,6,21.4292869567871,0.158239781856537,21.2755126953125,0.0466941893100739,20.488000869751,0.036095853894949,21.3557186126709,0.122249953448772,20.1617660522461,0.139518171548843,0.0544120334088802,0.0400358587503433,0.0290373433381319,0.0220181383192539,0.0156111335381866,0.298258006572723,2.15338004636578E-05,0.66874897480011,2,SERENDIPITY_DISTANT,2326,41,6,211,194,52353,792,629,1.28673994541168,1.51582002639771,1.0650600194931,-9999,-9999,1.78577995300293,260.675140380859
587731681186808223,121.26154236,0.0694747674780219,33.47586089,0.0685840117581847,6,21.6047782897949,0.18794097006321,21.2526359558105,0.0452592298388481,20.4308662414551,0.044693298637867,20.998607635498,0.0933131575584412,20.4510478973389,0.194849103689194,0.26113748550415,0.192142486572266,0.139357760548592,0.105670772492886,0.0749218910932541,0.325255990028381,0.000167872000019997,0.317333996295929,0,SERENDIPITY_DISTANT,2777,40,5,98,415,52289,825,278,1.11645996570587,0.908953011035919,0.906898021697998,-9999,-9999,2.08348655700684,431.779205322266
588010360161304656,183.09617808,0.0527067195420392,5.8346238,0.0470024837174761,3,21.5859813690186,0.105137810111046,20.0607948303223,0.0277492795139551,19.1694374084473,0.0166605412960052,22.2005786895752,1.98726141452789,18.6854476928711,0.0446644127368927,0.108481027185917,0.0798193067312241,0.0578916221857071,0.0438974648714066,0.031123848631978,0.13798600435257,0.000140499992994592,0.999463021755219,2,GALAXY,2126,41,5,426,80,52378,843,418,6.79531002044678,14.7154998779297,16.0303001403809,120,21,5.22394895553589,0.183519899845123
588013384336998734,129.63968962,0.0491561779860779,37.70457373,0.0488669410112868,6,21.4955863952637,0.110045082867146,21.2376899719238,0.036482710391283,20.420202255249,0.025820529088378,20.7932415008545,0.0419778302311897,21.6153984069824,0.25373575091362,0.22073358297348,0.16241367161274,0.117795936763287,0.0893210992217064,0.0633297711610794,0.215955004096031,0.000710877997335047,0.965925991535187,2,SERENDIPITY_DISTANT,2830,41,6,149,334,52320,864,379,1.70139002799988,1.60018002986908,1.39365994930267,-9999,-9999,1.02239561080933,1025.37780761719
