objid,ra,raerr,dec,decerr,type,clean,mode,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,specObjID,bestObjID,Sourcetype,class,subclass,z,zerr,zwarning,mjd,plate,fiberID
1237679503794307388,29.6708884680831,0.0273970125407635,18.4358322493714,0.0269977102728476,6,1,1,21.5023,0.2028331,20.96045,0.04454828,20.11935,0.03084109,21.08953,0.0961589,20.21394,0.1665253,0.2690075,0.2096089,0.1450064,0.1077553,0.08015016,2.164693,8586144691753295872,1237679503794307388,QSO,GALAXY,STARBURST,0.2944103,1.227563E-05,0,56934,7626,116
1237679541901394320,31.2233518085393,0.144977897779727,20.0577870244262,0.172338390360314,6,1,1,22.75751,0.5601906,22.74186,0.2758773,22.14399,0.1796232,22.34701,0.2751267,21.5263,0.5294288,1.026347,0.799723,0.5532447,0.4111201,0.3057978,1.604994,8592886623066103808,1237679541901394320,QSO,GALAXY,null,0.3148143,7.800374E-05,0,56987,7632,67
1237678601846194776,9.82433316457013,0.019503418291471,17.6922498265591,0.0212749798433049,6,1,1,22.60243,0.2965194,21.68452,0.05087351,20.74433,0.03552021,21.73942,0.1112853,20.61048,0.1703986,0.2379356,0.1853978,0.1282574,0.09530897,0.07089236,1.287714,8543364617941786624,1237678601846194776,QSO,GALAXY,STARBURST,0.2940848,8.953607E-06,0,56903,7588,131
1237678619027439901,357.715929911292,0.0174106451780181,2.65278214231706,0.0161832442712655,6,1,1,20.84297,0.0785811,20.64097,0.03094274,20.26279,0.02652019,20.53895,0.03960412,20.17904,0.1107337,0.1510933,0.1177309,0.08144568,0.06052287,0.04501789,1.475876,4817763177184862208,1237678619027439901,QSO,GALAXY,STARBURST,0.2546124,1.013911E-05,0,55508,4279,136
1237678619564376742,357.854223220598,0.076207417644745,2.95940132252821,0.0745968461763163,3,1,1,23.79506,0.6790161,23.22072,0.1808991,22.19589,0.1161959,22.70408,0.2493003,21.7512,0.345706,0.1782227,0.1388699,0.09606955,0.07138997,0.05310103,1.046273,4817749983045328896,1237678619564376742,NA,GALAXY,null,0.2247645,3.336073E-05,1,55508,4279,88
1237678776330813684,0.490356737637228,0.0501974564751619,4.00696563737535,0.0463911186681121,6,1,1,21.54387,0.1429664,21.0094,0.04179936,20.67821,0.06516513,20.88052,0.1180852,21.72514,0.9010288,0.09318697,0.07261066,0.05023172,0.03732755,0.02776484,2.361072,4815741450145734656,1237678776330813684,QSO,GALAXY,STARBURST,0.2636804,1.129222E-05,0,55506,4277,973
1237679077518672232,7.64945274778967,0.052753642735414,-5.45534275429051,0.0508333623710031,6,1,1,21.56441,0.2287552,21.09145,0.05199755,20.9101,0.0629668,21.2529,0.1181148,21.02962,0.3708093,0.1445225,0.1126109,0.07790373,0.05789082,0.04306013,1.544525,7925318955933081600,1237679077518672232,QSO,QSO,null,0.2198619,0.0002483159,4,56572,7039,398
1237679459748741546,11.5702918754172,0.0349443860400782,19.2602300099218,0.0310661201729984,6,1,1,22.09434,0.2821538,21.31247,0.06321383,20.855,0.045478,21.23748,0.09010568,20.93232,0.18872,0.1685599,0.1313407,0.09086091,0.0675194,0.05022202,1.348259,6973835671707295744,1237679459748741546,QSO,GALAXY,null,0.2608209,1.396202E-05,0,56190,6194,42
1237679460290592983,23.7218322073712,0.0389474868946831,18.8850107955837,0.0369195396091722,3,1,1,22.12339,0.3530127,21.69934,0.07452247,21.33455,0.08623846,21.79147,0.1558146,21.58411,0.5293273,0.248343,0.1935071,0.1338674,0.09947779,0.0739932,1.359906,8159505037950689280,1237679460290592983,SEQUELS_ELG,GALAXY,STARBURST,0.3054645,1.54456E-05,0,56626,7247,394
1237679460290593442,23.71003039587,0.0829968865157742,18.9024021115845,0.0798924712905058,3,0,1,23.04807,0.4943676,22.80419,0.1660315,22.26466,0.1272911,22.91787,0.2827678,21.77371,0.3290847,0.2481231,0.1933358,0.1337488,0.09938971,0.07392769,1.6384,8159505312828596224,1237679460290593442,SEQUELS_ELG_LOWP,GALAXY,null,0.297224,2.419084E-05,0,56626,7247,395
