SpecObjID,plate,fiberID,mjd,ra,dec,z,bpt,velStars,redshift,sigmaStars,sigmaStarsErr,chisq,ebmv,ebmv_err,Flux_OIII_5006,Flux_OIII_5006_Err,EW_OIII_5006,EW_OIII_5006_Err,AoN_OIII_5006,Flux_NII_6583,Flux_NII_6583_Err,Fit_Warning_NII_6583,AoN_NII_6583,Flux_Hb_4861,Flux_Hb_4861_Err,EW_Hb_4861,EW_Hb_4861_Err,Fit_Warning_Hb_4861,AoN_Hb_4861,Flux_Ha_6562,Flux_Ha_6562_Err,EW_Ha_6562,EW_Ha_6562_Err,AoN_Ha_6562
5998867921542770688,5328,266,55982,150.78371,12.213689,0.3096994,Seyfert,80860.85,0.3096013,133.3445,141.1095,0.964853,0,0,184.319,2.471543,328.1732,-9999,85.27737,12.42658,3.506264,0,2.581964,0,0,0,-9999,0,0,145.0463,3.332938,494.4782,-9999,53.68319
1963617042665859072,1744,173,53055,150.81219,12.247612,0.1510703,Composite,42269.14,0.1514185,113.6217,22.05182,0.6047387,0.1156576,0.01399451,33.88694,10.37234,4.070877,1.24717,1.643689,35.21613,6.514868,0,3.275473,23.11874,7.563929,3.076308,1.010755,0,2.364128,93.22415,8.033594,11.92419,1.050792,8.93299
1963618691933300736,1744,179,53055,150.82162,12.192719,0.1375024,Star Forming,38697.16,0.1377809,10.89001,47.43548,0.9086009,0.06557417,0.012662,175.067,14.42881,15.64439,1.321864,28.58368,111.4872,6.789788,0,14.10849,142.2515,9.063706,14.50522,1.009097,0,25.01855,504.8802,19.99594,62.39313,2.776003,70.90997
5998868471298584576,5328,268,55982,150.82393,12.260837,0.2760372,LINER,73147.45,0.2763362,243.1521,14.1892,0.8714214,0.1077244,0.004258348,24.31271,5.14163,2.617323,0.5548876,2.504657,55.85695,9.39569,0,3.499354,13.19713,5.321688,1.495823,0.6036065,0,1.877025,30.98082,6.315304,3.164395,0.6458978,3.459886
1963608521450743808,1744,142,53055,150.82842,12.234169,0.1165978,Seyfert,33152.9,0.1169326,175.7741,8.615312,0.7948623,0.02872062,0.002869237,8.627948,6.258788,0.3559781,0.2582978,1.545866,18.89439,5.692667,0,3.030269,0,0,0,-9999,0,0,5.180285,11.85633,0.1953741,0.4471711,0.5538448
5139975610852634624,4565,882,55591,150.73544,43.004058,0.4602619,BLANK,113581.7,0.4606297,245.1571,29.129,0.7757754,0.03584854,0.01249491,0.847518,1.924483,0.3077481,0.6988822,0.5943185,0,0,0,0,0,0,0,-9999,0,0,0,0,0,-9999,0
5139980558654959616,4565,900,55591,150.78945,43.069579,0.3492602,Star Forming,89655.21,0.3485873,235.3044,203.0528,0.8975109,0,0,386.9601,3.387205,647.2875,-9999,207.3028,5.307418,2.233452,0,2.564734,68.2356,2.210961,124.6992,-9999,0,36.27507,204.0725,3.82978,664.2568,-9999,92.19804
7272398984651141120,6459,769,56273,150.88016,23.881849,0.7053927,BLANK,160248,0.7066457,392.5601,59.36093,0.9941361,0.05162332,0.02766025,0,0,0,-9999,0,0,0,0,0,0.5368066,120.0682,0.1971289,44.09207,0,0.2949463,0,0,0,-9999,0
2638079201906812928,2343,348,53735,150.89025,23.86643,0.05191049,Star Forming,15246.05,0.05217069,58.05571,12.50652,1.165342,0.1197676,0.01072005,41.0451,4.011915,2.864173,0.2842558,7.771846,70.79472,4.763129,0,9.137318,78.97466,6.268096,6.284333,0.542739,0,13.68119,269.6384,10.75224,23.64439,1.028676,37.37713
7272398709773234176,6459,768,56273,150.92256,23.84518,0.243088,LINER,65301.09,0.2433645,271.087,10.20013,0.8223377,0.1011146,0.002609655,17.78441,6.368394,1.366227,0.4897442,1.566476,53.98227,5.518972,0,6.223748,26.37125,8.203622,2.131333,0.6638902,0,1.457826,39.76874,4.80993,2.906943,0.3524674,3.898792
2661698360972437504,2364,258,53737,150.96377,20.352716,0.04479609,Star Forming,13208.71,0.04504456,30.02528,10.18296,1.000427,0.08881082,0.01637208,301.9184,20.51512,22.26912,1.594672,57.74799,72.90396,4.895671,0,12.17768,191.4558,16.09789,16.36167,1.550482,0,35.44626,526.0225,25.44559,54.06118,2.833054,85.02387
6622738791390703616,5882,711,56029,150.99724,20.2775,0.6276583,BLANK,146145,0.6282196,207.0074,33.84738,0.8768097,0.05358269,0.01851885,0,0,0,-9999,0,0,0,0,0,3.980124,4.592985,1.875863,2.165499,0,2.063335,0,0,0,-9999,0
2661695887071275008,2364,249,53737,151.00268,20.288686,0.2552905,Star Forming,68206.28,0.2554721,6.902977,6.261447E+10,1.196653,0,0.02696614,865.9946,103.2597,270.6125,-9999,197.0772,72.1735,7.380467,0,13.23022,192.0907,23.55063,63.6071,-9999,0,47.32842,649.4932,47.02198,338.5485,-9999,120.7964
5999011682688102400,5328,789,55982,150.99406,13.546017,0.2502139,Star Forming,66934.06,0.2501556,185.591,58.72918,0.8778652,0.5197913,0.02796419,22.0626,24.9618,1.589644,1.798555,0.784476,206.5547,25.71288,0,6.979655,87.20187,25.99246,8.292089,2.484492,0,2.880482,380.928,41.67496,37.02942,4.097865,12.7999
1963712700177475584,1744,521,53055,151.00747,13.49926,0.07855567,Star Forming,22758.87,0.07887132,107.1625,6.294353,0.8869269,0.04530869,0.005718419,4.175234,9.302396,0.1620656,0.361098,0.9009399,0,0,0,0,2.846853,10.57595,0.1135317,0.421775,0,0.6406936,0.0216008,0,0.0008011521,1.331612E-05,0.002758987
5999012507321823232,5328,792,55982,151.02899,13.533592,0.151654,Star Forming,42346.38,0.1517152,51.57364,48.78704,0.856516,0.0003082347,0.05543063,25.62463,6.115724,20.25852,363.885,13.63299,6.293291,1.802701,0,2.696577,16.89744,4.176483,15.15381,272.1856,0,8.312776,46.50395,8.758286,49.49931,889.3676,19.70512
5999012232443916288,5328,791,55982,151.03965,13.557345,0.630227,BLANK,146600.9,0.6306975,234.0468,32.7023,0.9076255,0.04642337,0.01654614,0,0,0,-9999,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,-9999,0
5999024052193914880,5328,834,55982,151.0889,13.503561,0.3824818,Seyfert/LINER,97137.46,0.382669,217.8958,22.66974,0.776797,0.07116743,0.006067097,0,0,0,-9999,0,1.415772,4.703773,0,0.4509298,0,0,0,-9999,0,0,0,0,0,-9999,0
1061796769538533376,943,266,52376,151.09697,44.834618,0.1387992,Composite,39039.96,0.1390827,101.1218,14.44985,1.000241,0.09377132,0.007981247,12.87623,5.27765,1.047118,0.4293577,2.117521,51.84129,6.681877,0,4.11694,16.98605,5.639069,1.530175,0.5104375,0,3.170218,89.41033,7.550027,7.435442,0.6379809,7.871275
2910596463459330048,2585,528,54097,151.13179,17.831854,0.1875827,Star Forming,51622.18,0.1879071,104.4232,12.97695,0.9493745,0.1293172,0.009644664,3.750244,7.876068,0.30781,0.6464632,0.7857888,58.70944,8.818616,0,6.940675,34.76254,8.1049,3.018595,0.7080773,0,5.512805,119.0985,9.769006,10.81317,0.9025826,15.33313
